topic,alpha,word,weight
16,0.3333333333333333,毛,269
16,0.3333333333333333,禽,267
16,0.3333333333333333,網,258
16,0.3333333333333333,爾,253
16,0.3333333333333333,籠,253
16,0.3333333333333333,雛,252
16,0.3333333333333333,驚,220
17,0.3333333333333333,高,1530
17,0.3333333333333333,勞,890
17,0.3333333333333333,未,641
17,0.3333333333333333,何,627
17,0.3333333333333333,自,520
17,0.3333333333333333,相,474
17,0.3333333333333333,風,415
17,0.3333333333333333,毛,361
17,0.3333333333333333,蓬,345
17,0.3333333333333333,已,281
17,0.3333333333333333,心,251
17,0.3333333333333333,思,243
17,0.3333333333333333,徒,236
17,0.3333333333333333,袍,232
17,0.3333333333333333,休,229
17,0.3333333333333333,騷,219
17,0.3333333333333333,刀,216
17,0.3333333333333333,辭,210
17,0.3333333333333333,濤,200
17,0.3333333333333333,猶,198
18,0.3333333333333333,旌,543
18,0.3333333333333333,節,440
18,0.3333333333333333,三,408
18,0.3333333333333333,旗,392
18,0.3333333333333333,列,384
18,0.3333333333333333,朝,352
18,0.3333333333333333,朱,347
18,0.3333333333333333,分,341
18,0.3333333333333333,金,338
18,0.3333333333333333,蓋,335
18,0.3333333333333333,騎,326
18,0.3333333333333333,動,324
18,0.3333333333333333,冠,311
18,0.3333333333333333,龍,303
18,0.3333333333333333,星,280
18,0.3333333333333333,擁,275
18,0.3333333333333333,鼓,270
18,0.3333333333333333,羽,244
18,0.3333333333333333,迎,242
18,0.3333333333333333,軒,232
19,0.3333333333333333,如,833
19,0.3333333333333333,不,732
19,0.3333333333333333,若,720
19,0.3333333333333333,可,636
19,0.3333333333333333,為,511
19,0.3333333333333333,然,506
19,0.3333333333333333,或,455
19,0.3333333333333333,者,411
19,0.3333333333333333,能,389
19,0.3333333333333333,有,385
19,0.3333333333333333,無,320
19,0.3333333333333333,物,312
19,0.3333333333333333,忽,309
19,0.3333333333333333,右,307
19,0.3333333333333333,左,294
19,0.3333333333333333,亦,291
19,0.3333333333333333,大,283
19,0.3333333333333333,我,269
19,0.3333333333333333,相,269
19,0.3333333333333333,爾,263
20,0.3333333333333333,清,1103
20,0.3333333333333333,光,676
20,0.3333333333333333,氣,643
20,0.3333333333333333,動,528
20,0.3333333333333333,色,516
20,0.3333333333333333,微,459
20,0.3333333333333333,高,402
20,0.3333333333333333,靜,374
20,0.3333333333333333,風,363
20,0.3333333333333333,餘,332
20,0.3333333333333333,出,306
20,0.3333333333333333,稍,302
20,0.3333333333333333,露,300
20,0.3333333333333333,曉,299
20,0.3333333333333333,方,296
20,0.3333333333333333,初,294
20,0.3333333333333333,靄,277
20,0.3333333333333333,晨,274
20,0.3333333333333333,含,263
20,0.3333333333333333,華,254
21,0.3333333333333333,生,1271
21,0.3333333333333333,平,1222
21,0.3333333333333333,行,1115
21,0.3333333333333333,此,1026
21,0.3333333333333333,天,1010
21,0.3333333333333333,地,837
21,0.3333333333333333,日,818
21,0.3333333333333333,盡,736
21,0.3333333333333333,時,679
21,0.3333333333333333,出,629
21,0.3333333333333333,下,618
21,0.3333333333333333,中,616
21,0.3333333333333333,當,570
21,0.3333333333333333,明,498
21,0.3333333333333333,聞,342
21,0.3333333333333333,坐,324
21,0.3333333333333333,太,324
21,0.3333333333333333,立,307
21,0.3333333333333333,聲,286
21,0.3333333333333333,起,229
22,0.3333333333333333,秋,1560
22,0.3333333333333333,月,1283
22,0.3333333333333333,夜,1021
22,0.3333333333333333,露,952
22,0.3333333333333333,風,844
22,0.3333333333333333,葉,764
22,0.3333333333333333,寒,753
22,0.3333333333333333,落,515
22,0.3333333333333333,涼,512
22,0.3333333333333333,桐,459
22,0.3333333333333333,空,449
22,0.3333333333333333,霜,418
22,0.3333333333333333,庭,345
22,0.3333333333333333,淒,339
22,0.3333333333333333,井,339
22,0.3333333333333333,冷,315
22,0.3333333333333333,曉,294
22,0.3333333333333333,滴,282
22,0.3333333333333333,清,279
22,0.3333333333333333,思,274
23,0.3333333333333333,古,1044
23,0.3333333333333333,荒,697
23,0.3333333333333333,悲,666
23,0.3333333333333333,生,656
23,0.3333333333333333,草,485
23,0.3333333333333333,哭,464
23,0.3333333333333333,死,461
23,0.3333333333333333,遺,430
23,0.3333333333333333,沒,422
23,0.3333333333333333,傷,393
23,0.3333333333333333,哀,382
23,0.3333333333333333,骨,358
23,0.3333333333333333,人,343
23,0.3333333333333333,已,290
23,0.3333333333333333,埋,265
23,0.3333333333333333,淚,258
23,0.3333333333333333,墳,257
23,0.3333333333333333,孤,241
23,0.3333333333333333,舊,235
23,0.3333333333333333,平,230
24,0.3333333333333333,峰,1050
24,0.3333333333333333,山,961
24,0.3333333333333333,寺,916
24,0.3333333333333333,松,868
24,0.3333333333333333,僧,843
24,0.3333333333333333,鐘,627
24,0.3333333333333333,高,554
24,0.3333333333333333,鶴,477
24,0.3333333333333333,尋,462
24,0.3333333333333333,閒,454
24,0.3333333333333333,逢,410
24,0.3333333333333333,蹤,404
24,0.3333333333333333,雲,403
24,0.3333333333333333,雪,392
24,0.3333333333333333,林,354
24,0.3333333333333333,宿,324
24,0.3333333333333333,靜,309
24,0.3333333333333333,吟,307
24,0.3333333333333333,古,276
24,0.3333333333333333,野,269
25,0.3333333333333333,不,949
25,0.3333333333333333,無,921
25,0.3333333333333333,自,836
25,0.3333333333333333,非,689
25,0.3333333333333333,為,674
25,0.3333333333333333,有,575
25,0.3333333333333333,豈,530
25,0.3333333333333333,得,476
25,0.3333333333333333,異,453
25,0.3333333333333333,願,438
25,0.3333333333333333,心,414
25,0.3333333333333333,亦,407
25,0.3333333333333333,意,387
25,0.3333333333333333,終,365
25,0.3333333333333333,在,343
25,0.3333333333333333,同,340
25,0.3333333333333333,良,310
25,0.3333333333333333,用,298
25,0.3333333333333333,難,297
25,0.3333333333333333,至,286
26,0.3333333333333333,頭,1421
26,0.3333333333333333,上,1130
26,0.3333333333333333,前,1038
26,0.3333333333333333,來,702
26,0.3333333333333333,白,687
26,0.3333333333333333,向,650
26,0.3333333333333333,看,643
26,0.3333333333333333,到,637
26,0.3333333333333333,眼,606
26,0.3333333333333333,滿,529
26,0.3333333333333333,裏,499
26,0.3333333333333333,邊,487
26,0.3333333333333333,漠,459
26,0.3333333333333333,卻,439
26,0.3333333333333333,得,433
26,0.3333333333333333,下,368
26,0.3333333333333333,不,303
26,0.3333333333333333,似,280
26,0.3333333333333333,面,270
26,0.3333333333333333,立,256
27,0.3333333333333333,我,1122
27,0.3333333333333333,所,970
27,0.3333333333333333,無,710
27,0.3333333333333333,亦,675
27,0.3333333333333333,有,611
27,0.3333333333333333,非,569
27,0.3333333333333333,以,557
27,0.3333333333333333,不,529
27,0.3333333333333333,安,517
27,0.3333333333333333,此,501
27,0.3333333333333333,為,495
27,0.3333333333333333,吾,494
27,0.3333333333333333,與,452
27,0.3333333333333333,足,423
27,0.3333333333333333,況,421
27,0.3333333333333333,然,383
27,0.3333333333333333,其,339
27,0.3333333333333333,可,330
27,0.3333333333333333,自,310
27,0.3333333333333333,言,300
28,0.3333333333333333,聲,1614
28,0.3333333333333333,曲,907
28,0.3333333333333333,弦,842
28,0.3333333333333333,聽,816
28,0.3333333333333333,琴,713
28,0.3333333333333333,音,592
28,0.3333333333333333,調,572
28,0.3333333333333333,聞,548
28,0.3333333333333333,清,508
28,0.3333333333333333,管,479
28,0.3333333333333333,彈,426
28,0.3333333333333333,泠,302
28,0.3333333333333333,奏,283
28,0.3333333333333333,瑟,278
28,0.3333333333333333,歌,268
28,0.3333333333333333,一,257
28,0.3333333333333333,鳴,250
28,0.3333333333333333,韻,240
28,0.3333333333333333,玉,210
28,0.3333333333333333,弄,205
29,0.3333333333333333,莫,2244
29,0.3333333333333333,須,1160
29,0.3333333333333333,是,801
29,0.3333333333333333,君,703
29,0.3333333333333333,不,702
29,0.3333333333333333,人,596
29,0.3333333333333333,道,561
29,0.3333333333333333,知,481
29,0.3333333333333333,為,451
29,0.3333333333333333,好,442
29,0.3333333333333333,即,412
29,0.3333333333333333,看,368
29,0.3333333333333333,便,322
29,0.3333333333333333,取,305
29,0.3333333333333333,言,283
29,0.3333333333333333,來,267
29,0.3333333333333333,作,266
29,0.3333333333333333,用,259
29,0.3333333333333333,教,233
29,0.3333333333333333,他,230
30,0.3333333333333333,歌,1264
30,0.3333333333333333,歡,1003
30,0.3333333333333333,樂,807
30,0.3333333333333333,酒,682
30,0.3333333333333333,舞,602
30,0.3333333333333333,筵,553
30,0.3333333333333333,醉,540
30,0.3333333333333333,宴,508
30,0.3333333333333333,管,412
30,0.3333333333333333,席,384
30,0.3333333333333333,遊,373
30,0.3333333333333333,曲,361
30,0.3333333333333333,弦,339
30,0.3333333333333333,散,330
30,0.3333333333333333,燭,290
30,0.3333333333333333,留,272
30,0.3333333333333333,賓,267
30,0.3333333333333333,會,262
30,0.3333333333333333,觴,251
30,0.3333333333333333,綺,246
31,0.3333333333333333,今,2536
31,0.3333333333333333,日,1882
31,0.3333333333333333,年,1657
31,0.3333333333333333,昔,1008
31,0.3333333333333333,時,675
31,0.3333333333333333,前,664
31,0.3333333333333333,在,605
31,0.3333333333333333,來,568
31,0.3333333333333333,人,502
31,0.3333333333333333,去,455
31,0.3333333333333333,舊,441
31,0.3333333333333333,歲,401
31,0.3333333333333333,憶,394
31,0.3333333333333333,已,394
31,0.3333333333333333,事,352
31,0.3333333333333333,遊,352
31,0.3333333333333333,幾,348
31,0.3333333333333333,見,334
31,0.3333333333333333,昨,276
31,0.3333333333333333,同,272
32,0.3333333333333333,煙,1066
32,0.3333333333333333,紅,607
32,0.3333333333333333,雨,601
32,0.3333333333333333,碧,592
32,0.3333333333333333,露,548
32,0.3333333333333333,香,535
32,0.3333333333333333,風,528
32,0.3333333333333333,似,475
32,0.3333333333333333,輕,447
32,0.3333333333333333,半,396
32,0.3333333333333333,晴,360
32,0.3333333333333333,色,345
32,0.3333333333333333,翠,335
32,0.3333333333333333,綿,298
32,0.3333333333333333,點,294
32,0.3333333333333333,細,282
32,0.3333333333333333,曉,282
32,0.3333333333333333,娟,275
32,0.3333333333333333,重,240
32,0.3333333333333333,濃,236
33,0.3333333333333333,坐,567
33,0.3333333333333333,眠,566
33,0.3333333333333333,床,479
33,0.3333333333333333,臥,478
33,0.3333333333333333,茶,399
33,0.3333333333333333,前,399
33,0.3333333333333333,一,385
33,0.3333333333333333,閒,382
33,0.3333333333333333,泉,363
33,0.3333333333333333,香,338
33,0.3333333333333333,味,312
33,0.3333333333333333,枕,293
33,0.3333333333333333,來,261
33,0.3333333333333333,睡,236
33,0.3333333333333333,新,234
33,0.3333333333333333,數,221
33,0.3333333333333333,窗,202
33,0.3333333333333333,覺,199
33,0.3333333333333333,起,198
33,0.3333333333333333,後,195
34,0.3333333333333333,田,1492
34,0.3333333333333333,桑,639
34,0.3333333333333333,野,629
34,0.3333333333333333,耕,548
34,0.3333333333333333,村,403
34,0.3333333333333333,牛,393
34,0.3333333333333333,種,373
34,0.3333333333333333,家,331
34,0.3333333333333333,農,316
34,0.3333333333333333,荒,307
34,0.3333333333333333,鄰,255
34,0.3333333333333333,食,248
34,0.3333333333333333,雨,243
34,0.3333333333333333,麥,238
34,0.3333333333333333,土,219
34,0.3333333333333333,熟,204
34,0.3333333333333333,童,201
34,0.3333333333333333,苗,196
34,0.3333333333333333,黍,196
34,0.3333333333333333,稻,194
35,0.3333333333333333,官,1318
35,0.3333333333333333,書,682
35,0.3333333333333333,吏,635
35,0.3333333333333333,朝,538
35,0.3333333333333333,府,506
35,0.3333333333333333,郎,499
35,0.3333333333333333,史,440
35,0.3333333333333333,司,340
35,0.3333333333333333,郡,337
35,0.3333333333333333,省,305
35,0.3333333333333333,才,304
35,0.3333333333333333,名,286
35,0.3333333333333333,縣,254
35,0.3333333333333333,詔,222
35,0.3333333333333333,當,222
35,0.3333333333333333,直,219
35,0.3333333333333333,事,218
35,0.3333333333333333,署,217
35,0.3333333333333333,政,213
35,0.3333333333333333,詩,209
36,0.3333333333333333,之,2522
36,0.3333333333333333,兮,1728
36,0.3333333333333333,其,1011
36,0.3333333333333333,不,1006
36,0.3333333333333333,以,958
36,0.3333333333333333,有,955
36,0.3333333333333333,我,777
36,0.3333333333333333,為,606
36,0.3333333333333333,而,603
36,0.3333333333333333,於,598
36,0.3333333333333333,爾,515
36,0.3333333333333333,可,459
36,0.3333333333333333,子,436
36,0.3333333333333333,吾,432
36,0.3333333333333333,如,401
36,0.3333333333333333,何,400
36,0.3333333333333333,彼,280
36,0.3333333333333333,與,253
36,0.3333333333333333,于,244
36,0.3333333333333333,者,229
37,0.3333333333333333,蘭,925
37,0.3333333333333333,芳,821
37,0.3333333333333333,光,730
37,0.3333333333333333,華,547
37,0.3333333333333333,香,368
37,0.3333333333333333,色,353
37,0.3333333333333333,含,344
37,0.3333333333333333,桂,344
37,0.3333333333333333,照,337
37,0.3333333333333333,露,330
37,0.3333333333333333,美,281
37,0.3333333333333333,玉,280
37,0.3333333333333333,彩,268
37,0.3333333333333333,蕙,264
37,0.3333333333333333,麗,248
37,0.3333333333333333,盈,238
37,0.3333333333333333,比,226
37,0.3333333333333333,素,224
37,0.3333333333333333,幽,221
37,0.3333333333333333,佳,212
38,0.3333333333333333,悠,1761
38,0.3333333333333333,流,1370
38,0.3333333333333333,遊,1053
38,0.3333333333333333,頭,977
38,0.3333333333333333,樓,943
38,0.3333333333333333,秋,933
38,0.3333333333333333,愁,888
38,0.3333333333333333,州,800
38,0.3333333333333333,休,636
38,0.3333333333333333,留,513
38,0.3333333333333333,收,401
38,0.3333333333333333,水,383
38,0.3333333333333333,浮,373
38,0.3333333333333333,憂,351
38,0.3333333333333333,侯,346
38,0.3333333333333333,丘,319
38,0.3333333333333333,求,257
38,0.3333333333333333,上,250
38,0.3333333333333333,淹,199
38,0.3333333333333333,羞,178
39,0.3333333333333333,仙,1947
39,0.3333333333333333,鶴,878
39,0.3333333333333333,丹,807
39,0.3333333333333333,洞,705
39,0.3333333333333333,霞,546
39,0.3333333333333333,雲,521
39,0.3333333333333333,紫,496
39,0.3333333333333333,靈,481
39,0.3333333333333333,藥,439
39,0.3333333333333333,玉,432
39,0.3333333333333333,真,402
39,0.3333333333333333,煙,345
39,0.3333333333333333,壇,338
39,0.3333333333333333,芝,331
39,0.3333333333333333,玄,289
39,0.3333333333333333,青,281
39,0.3333333333333333,松,281
39,0.3333333333333333,羽,279
39,0.3333333333333333,神,273
39,0.3333333333333333,蓬,219
40,0.3333333333333333,然,425
40,0.3333333333333333,茲,398
40,0.3333333333333333,懷,341
40,0.3333333333333333,方,284
40,0.3333333333333333,鬱,259
40,0.3333333333333333,浩,258
40,0.3333333333333333,復,258
40,0.3333333333333333,昔,256
40,0.3333333333333333,登,254
40,0.3333333333333333,窮,251
40,0.3333333333333333,徒,244
40,0.3333333333333333,仰,239
40,0.3333333333333333,想,232
40,0.3333333333333333,曠,231
40,0.3333333333333333,宇,222
40,0.3333333333333333,俯,216
40,0.3333333333333333,期,214
40,0.3333333333333333,跡,214
40,0.3333333333333333,言,210
40,0.3333333333333333,已,206
41,0.3333333333333333,萬,3916
41,0.3333333333333333,千,3875
41,0.3333333333333333,里,3514
41,0.3333333333333333,一,1412
41,0.3333333333333333,三,534
41,0.3333333333333333,重,473
41,0.3333333333333333,行,304
41,0.3333333333333333,載,215
41,0.3333333333333333,外,207
41,0.3333333333333333,平,199
41,0.3333333333333333,長,192
41,0.3333333333333333,山,182
41,0.3333333333333333,幾,162
41,0.3333333333333333,日,159
41,0.3333333333333333,十,124
41,0.3333333333333333,國,124
41,0.3333333333333333,戶,107
41,0.3333333333333333,鄉,95
41,0.3333333333333333,仞,82
41,0.3333333333333333,去,77
42,0.3333333333333333,有,2058
42,0.3333333333333333,無,1333
42,0.3333333333333333,不,1134
42,0.3333333333333333,知,1106
42,0.3333333333333333,人,946
42,0.3333333333333333,唯,917
42,0.3333333333333333,時,839
42,0.3333333333333333,處,827
42,0.3333333333333333,中,630
42,0.3333333333333333,見,584
42,0.3333333333333333,是,568
42,0.3333333333333333,何,565
42,0.3333333333333333,應,498
42,0.3333333333333333,一,429
42,0.3333333333333333,聞,422
42,0.3333333333333333,到,378
42,0.3333333333333333,更,365
42,0.3333333333333333,在,345
42,0.3333333333333333,此,298
42,0.3333333333333333,來,207
43,0.3333333333333333,風,1296
43,0.3333333333333333,飄,1010
43,0.3333333333333333,輕,687
43,0.3333333333333333,雨,518
43,0.3333333333333333,吹,485
43,0.3333333333333333,起,447
43,0.3333333333333333,動,427
43,0.3333333333333333,驚,415
43,0.3333333333333333,漸,353
43,0.3333333333333333,暗,341
43,0.3333333333333333,聲,339
43,0.3333333333333333,影,338
43,0.3333333333333333,微,329
43,0.3333333333333333,散,329
43,0.3333333333333333,落,329
43,0.3333333333333333,雪,300
43,0.3333333333333333,乍,299
43,0.3333333333333333,疑,293
43,0.3333333333333333,度,287
43,0.3333333333333333,細,283
44,0.3333333333333333,神,655
44,0.3333333333333333,禮,566
44,0.3333333333333333,德,549
44,0.3333333333333333,肅,492
44,0.3333333333333333,惟,484
44,0.3333333333333333,靈,437
44,0.3333333333333333,樂,370
44,0.3333333333333333,降,346
44,0.3333333333333333,薦,332
44,0.3333333333333333,既,316
44,0.3333333333333333,載,301
44,0.3333333333333333,誠,290
44,0.3333333333333333,明,287
44,0.3333333333333333,永,276
44,0.3333333333333333,以,259
44,0.3333333333333333,斯,256
44,0.3333333333333333,陳,244
44,0.3333333333333333,昭,226
44,0.3333333333333333,福,225
44,0.3333333333333333,備,223
45,0.3333333333333333,石,1390
45,0.3333333333333333,松,1031
45,0.3333333333333333,苔,889
45,0.3333333333333333,山,749
45,0.3333333333333333,竹,689
45,0.3333333333333333,泉,654
45,0.3333333333333333,幽,552
45,0.3333333333333333,徑,478
45,0.3333333333333333,蘿,416
45,0.3333333333333333,杖,407
45,0.3333333333333333,古,381
45,0.3333333333333333,澗,322
45,0.3333333333333333,步,307
45,0.3333333333333333,巖,301
45,0.3333333333333333,井,279
45,0.3333333333333333,青,276
45,0.3333333333333333,林,266
45,0.3333333333333333,尋,264
45,0.3333333333333333,溪,261
